                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1295,                0.94509,                 1.1401,                0.70104,                0.53125,                0.63594,                0.28233,                 2.0265,                 1.9007,                 1.7683,              0.0011585,              0.0011585,              0.0011585
                     36,                 1.2683,                 1.0294,                 1.1861,                0.72416,                0.53125,                0.62222,                0.26087,                 1.9957,                 2.1205,                 1.7786,              0.0011337,              0.0011337,              0.0011337
                     37,                 1.2265,                0.98093,                 1.1465,                0.98876,                 0.5625,                0.70989,                0.28027,                 1.9935,                 1.9153,                 1.7929,               0.001109,               0.001109,               0.001109
                     38,                 1.1878,                0.96178,                 1.1401,                0.93426,                0.65625,                0.78225,                0.28236,                 2.0452,                 1.6989,                 1.8666,              0.0010842,              0.0010842,              0.0010842
                     39,                 1.0982,                0.94492,                 1.1373,                0.77235,                0.71875,                0.81049,                 0.3266,                 2.0112,                   1.64,                  1.812,              0.0010595,              0.0010595,              0.0010595
                     40,                 1.1384,                0.92539,                 1.1433,                0.91561,                0.67835,                0.82301,                0.38755,                 1.8714,                 1.5448,                 1.7005,              0.0010347,              0.0010347,              0.0010347
                     41,                 1.2017,                 1.0704,                 1.2218,                0.95535,                0.66892,                0.84844,                0.40809,                 1.7722,                 1.3982,                   1.66,                0.00101,                0.00101,                0.00101
                     42,                  1.093,                 0.9292,                 1.1168,                0.87437,                0.84375,                0.89755,                0.41488,                 1.8082,                 1.2935,                 1.7264,             0.00098525,             0.00098525,             0.00098525
                     43,                 1.1912,                0.96719,                 1.1379,                 0.9314,                0.84869,                0.91689,                 0.3654,                 1.9096,                 1.2718,                 1.8283,              0.0009605,              0.0009605,              0.0009605
                     44,                 1.2747,                0.91724,                 1.2204,                0.89987,                0.84253,                0.90475,                0.38781,                    1.9,                 1.2845,                 1.7757,             0.00093575,             0.00093575,             0.00093575
                     45,                 1.2519,                0.91226,                 1.2074,                0.95953,                 0.8125,                0.91079,                0.41632,                 1.8002,                 1.3655,                 1.6684,               0.000911,               0.000911,               0.000911
                     46,                  1.186,                0.89832,                 1.1813,                0.95837,                 0.8125,                0.91149,                0.42357,                 1.8276,                 1.3243,                 1.6725,             0.00088625,             0.00088625,             0.00088625
                     47,                 1.1631,                0.86362,                 1.1649,                0.92828,                0.84375,                0.92629,                0.38959,                 1.9009,                  1.247,                 1.7197,              0.0008615,              0.0008615,              0.0008615
                     48,                 1.2023,                 1.0515,                 1.1725,                0.94636,                0.90625,                0.94257,                0.40684,                 1.9401,                 1.2328,                 1.7815,             0.00083675,             0.00083675,             0.00083675
                     49,                 1.0854,                0.86784,                 1.1018,                0.93808,                 0.8125,                0.91777,                0.38954,                 1.9628,                 1.2533,                 1.8038,               0.000812,               0.000812,               0.000812
                     50,                 1.0951,                0.81595,                 1.0977,                0.99992,                0.78125,                0.88952,                0.36081,                 1.9736,                 1.2228,                 1.7926,             0.00078725,             0.00078725,             0.00078725
                     51,                 1.1664,                0.97049,                 1.1589,                0.96267,                0.80598,                0.88097,                0.37413,                 1.9349,                  1.209,                 1.7549,              0.0007625,              0.0007625,              0.0007625
                     52,                 1.1775,                 0.9531,                 1.1909,                0.95806,                0.71399,                0.83391,                0.36892,                 1.8695,                 1.2418,                 1.7004,             0.00073775,             0.00073775,             0.00073775
                     53,                 1.2107,                 1.0334,                 1.1858,                0.95756,                0.71875,                0.83118,                0.35234,                 1.8937,                 1.2525,                  1.738,               0.000713,               0.000713,               0.000713
                     54,                 1.1712,                 0.8068,                   1.09,                0.96152,                0.78091,                0.89188,                0.34209,                 1.8826,                 1.2031,                 1.7683,             0.00068825,             0.00068825,             0.00068825
                     55,                  1.022,                0.74814,                 1.0367,                      1,                0.77542,                0.89507,                0.36307,                 1.8746,                 1.1271,                 1.7755,              0.0006635,              0.0006635,              0.0006635
                     56,                 1.0634,                0.78862,                 1.1141,                      1,                 0.8329,                0.91872,                0.41547,                 1.8102,                  1.074,                 1.7151,             0.00063875,             0.00063875,             0.00063875
                     57,                 1.0249,                0.78138,                 1.0867,                      1,                0.83843,                0.92365,                0.42939,                 1.7483,                 1.0435,                 1.6516,               0.000614,               0.000614,               0.000614
                     58,                  1.041,                0.76732,                 1.0823,                0.92742,                0.84375,                0.92463,                0.44411,                 1.7357,                 1.0376,                 1.6131,             0.00058925,             0.00058925,             0.00058925
                     59,                  1.076,                0.83426,                 1.1318,                0.93277,                 0.8674,                0.92928,                0.45907,                 1.7217,                 1.0426,                 1.5917,              0.0005645,              0.0005645,              0.0005645
                     60,                0.99144,                0.72358,                 1.0461,                 0.8922,                  0.875,                0.92863,                0.44028,                 1.7466,                 1.0762,                 1.6005,             0.00053975,             0.00053975,             0.00053975
                     61,                  1.016,                0.72061,                 1.0142,                0.90328,                0.87561,                0.93289,                0.44531,                 1.7654,                  1.103,                 1.6042,               0.000515,               0.000515,               0.000515
                     62,                0.95025,                0.84581,                 1.0911,                 0.9034,                0.90625,                 0.9386,                0.43807,                  1.775,                 1.0903,                 1.6152,             0.00049025,             0.00049025,             0.00049025
                     63,                0.99751,                0.71383,                 1.0043,                0.96566,                0.87887,                0.94106,                0.45286,                 1.7609,                 1.0644,                 1.6137,              0.0004655,              0.0004655,              0.0004655
                     64,                 0.9943,                0.77619,                 1.0687,                0.96054,                0.90625,                0.94133,                0.44099,                 1.7386,                 1.0314,                 1.6198,             0.00044075,             0.00044075,             0.00044075
                     65,                 1.0581,                0.69457,                 1.0319,                0.96652,                0.90235,                0.94161,                0.43821,                  1.749,                 1.0277,                 1.6311,               0.000416,               0.000416,               0.000416
                     66,                0.96016,                0.72197,                 1.0604,                0.96635,                 0.8976,                0.94098,                 0.4462,                 1.7362,                 1.0263,                 1.6218,             0.00039125,             0.00039125,             0.00039125
                     67,                 1.0467,                0.81626,                 1.0847,                      1,                0.90261,                  0.949,                0.45397,                 1.7456,                 1.0342,                 1.6213,              0.0003665,              0.0003665,              0.0003665
                     68,                 1.1273,                0.73383,                 1.0646,                      1,                0.89683,                 0.9432,                0.44245,                 1.8045,                 1.0532,                 1.6727,             0.00034175,             0.00034175,             0.00034175
                     69,                0.91542,                0.69611,                 1.0159,                0.99725,                0.90625,                0.95304,                0.43691,                 1.8221,                 1.0646,                 1.7006,               0.000317,               0.000317,               0.000317
                     70,                0.93429,                0.69587,                 1.0012,                0.95304,                  0.875,                0.94898,                0.42979,                 1.8272,                   1.07,                 1.7102,             0.00029225,             0.00029225,             0.00029225
                     71,                0.93654,                0.72866,                 1.0935,                0.96451,                  0.875,                0.95361,                0.42919,                 1.8223,                 1.0612,                 1.7071,              0.0002675,              0.0002675,              0.0002675
                     72,                0.86193,                0.69914,                0.98699,                0.95016,                0.84375,                0.94926,                0.44389,                 1.7678,                 1.0445,                 1.6487,             0.00024275,             0.00024275,             0.00024275
                     73,                 0.7919,                0.64402,                 0.9716,                0.95225,                0.84375,                0.94953,                0.45427,                   1.75,                  1.035,                 1.6243,               0.000218,               0.000218,               0.000218
                     74,                0.81469,                0.69591,                  1.028,                0.95396,                0.84375,                0.94663,                0.45542,                 1.7375,                 1.0372,                 1.6046,             0.00019325,             0.00019325,             0.00019325
                     75,                0.86664,                0.70403,                 1.0203,                0.95571,                0.84375,                0.94644,                0.47013,                 1.7325,                 1.0351,                 1.5972,              0.0001685,              0.0001685,              0.0001685
                     76,                0.92978,                0.69481,                 1.0609,                0.95781,                0.84375,                0.94693,                0.45552,                 1.7341,                 1.0305,                 1.5972,             0.00014375,             0.00014375,             0.00014375
                     77,                0.73219,                0.68702,                0.97699,                0.95736,                0.84375,                0.94857,                0.45839,                 1.7398,                 1.0284,                 1.6062,               0.000119,               0.000119,               0.000119
                     78,                0.76019,                0.65361,                0.99205,                0.95706,                0.84375,                0.94899,                0.44758,                 1.7477,                 1.0214,                 1.6144,              9.425e-05,              9.425e-05,              9.425e-05
                     79,                0.78574,                0.64741,                0.98443,                0.96115,                0.84375,                0.94862,                0.44675,                 1.7523,                 1.0183,                 1.6238,               6.95e-05,               6.95e-05,               6.95e-05
                     80,                 0.8613,                0.61147,                  1.012,                0.95719,                0.84375,                 0.9458,                 0.4422,                 1.7627,                 1.0136,                 1.6361,              4.475e-05,              4.475e-05,              4.475e-05
