                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.1027,                0.76869,                 1.1627,                0.87531,                0.74901,                0.84312,                0.50187,                 1.1671,                0.70652,                 1.1926,               0.000845,               0.000845,               0.000845
                     37,                 1.1261,                0.77386,                 1.1697,                0.84676,                0.76482,                 0.8341,                0.49764,                 1.1801,                0.69846,                 1.1726,               0.000812,               0.000812,               0.000812
                     38,                 1.0906,                 0.7591,                 1.1486,                0.87728,                0.74878,                0.84374,                 0.5121,                 1.1977,                0.67993,                 1.2012,               0.000779,               0.000779,               0.000779
                     39,                 1.0966,                0.75484,                 1.1537,                0.89358,                0.74506,                0.86114,                 0.5112,                 1.1818,                0.66712,                  1.182,               0.000746,               0.000746,               0.000746
                     40,                 1.0906,                 0.7489,                  1.138,                0.92517,                 0.7332,                0.85953,                0.52045,                 1.1474,                0.65197,                 1.1656,               0.000713,               0.000713,               0.000713
                     41,                 1.0661,                0.72408,                  1.147,                0.87805,                 0.7668,                0.85953,                0.52918,                 1.1465,                0.64125,                 1.1701,                0.00068,                0.00068,                0.00068
                     42,                 1.0603,                0.71966,                 1.1289,                0.90077,                 0.7535,                0.85748,                0.52169,                 1.1629,                0.64555,                 1.1854,               0.000647,               0.000647,               0.000647
                     43,                0.96936,                0.66168,                 1.0855,                 0.9227,                0.75484,                0.85437,                0.52578,                 1.1491,                0.63127,                 1.1834,               0.000614,               0.000614,               0.000614
                     44,                0.96713,                0.64384,                 1.0828,                0.87467,                0.77668,                0.85681,                0.51827,                 1.1574,                0.65177,                 1.1768,               0.000581,               0.000581,               0.000581
                     45,                0.96095,                0.64314,                 1.0746,                0.86931,                0.75296,                0.85723,                0.52401,                 1.1355,                0.63944,                 1.1634,               0.000548,               0.000548,               0.000548
                     46,                0.87435,                0.57603,                 1.0421,                0.88317,                0.74698,                0.84197,                0.51479,                 1.1778,                0.63643,                 1.2138,               0.000515,               0.000515,               0.000515
                     47,                0.87091,                0.57111,                 1.0383,                0.88227,                 0.7701,                0.85975,                0.51859,                  1.162,                0.64962,                 1.1874,               0.000482,               0.000482,               0.000482
