                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                 1.0786,                 1.7537,                 1.3476,                0.93065,                 0.3733,                0.57728,                0.44551,                 1.6899,                 2.3931,                 1.4993,             2.0846e-05,             2.0846e-05,             2.0846e-05
                     34,                 1.2408,                 1.9433,                 1.5758,                0.93065,                 0.3733,                0.57728,                0.44551,                 1.6899,                 2.3931,                 1.4993,             2.0942e-05,             2.0942e-05,             2.0942e-05
                     35,                0.91237,                 1.1892,                 1.2681,                0.76687,                0.37388,                 0.4947,                0.35377,                 1.6785,                 2.3929,                 1.5039,             2.1005e-05,             2.1005e-05,             2.1005e-05
                     36,                0.92876,                 1.4761,                  1.343,                0.76687,                0.37388,                 0.4947,                0.35377,                 1.6785,                 2.3929,                 1.5039,             2.1033e-05,             2.1033e-05,             2.1033e-05
                     37,                 1.0193,                 1.0582,                 1.3307,                0.93644,                0.37445,                0.49496,                0.35543,                 1.6728,                 2.3987,                 1.4998,             2.1028e-05,             2.1028e-05,             2.1028e-05
                     38,                0.60033,                0.99785,                0.96804,                0.93644,                0.37445,                0.49496,                0.35543,                 1.6728,                 2.3987,                 1.4998,              2.099e-05,              2.099e-05,              2.099e-05
                     39,                0.71349,                0.77996,                 1.1715,                0.93753,                0.37435,                0.49507,                0.35555,                 1.6739,                 2.3809,                 1.4876,             2.0917e-05,             2.0917e-05,             2.0917e-05
                     40,                0.72032,                0.94244,                 1.1286,                0.93753,                0.37435,                0.49507,                0.35555,                 1.6739,                 2.3809,                 1.4876,             2.0812e-05,             2.0812e-05,             2.0812e-05
                     41,                0.99429,                 1.0745,                 1.2318,                0.93725,                0.37502,                0.49699,                0.35811,                 1.6989,                 2.3586,                 1.5007,             2.0672e-05,             2.0672e-05,             2.0672e-05
                     42,                 0.8596,                 1.1216,                 1.1474,                0.93725,                0.37502,                0.49699,                0.35811,                 1.6989,                 2.3586,                 1.5007,             2.0499e-05,             2.0499e-05,             2.0499e-05
                     43,                 1.0266,                 1.4746,                 1.4955,                 0.9379,                0.37474,                0.46888,                0.32479,                 1.6906,                 2.3481,                 1.4928,             2.0292e-05,             2.0292e-05,             2.0292e-05
                     44,                0.71938,                 1.0984,                 1.1514,                 0.9379,                0.37474,                0.46888,                0.32479,                 1.6906,                 2.3481,                 1.4928,             2.0051e-05,             2.0051e-05,             2.0051e-05
                     45,                0.73431,                 1.3555,                 1.1379,                0.94011,                 0.3758,                0.41482,                0.28351,                 1.6799,                 2.3505,                 1.4895,             1.9777e-05,             1.9777e-05,             1.9777e-05
                     46,                0.84179,                 1.1256,                 1.2323,                0.94011,                 0.3758,                0.41482,                0.28351,                 1.6799,                 2.3505,                 1.4895,             1.9469e-05,             1.9469e-05,             1.9469e-05
                     47,                0.77104,                0.95629,                 1.1946,                0.94269,                0.38235,                0.41491,                0.31668,                 1.7047,                 2.3617,                 1.4935,             1.9128e-05,             1.9128e-05,             1.9128e-05
                     48,                0.84162,                 1.1845,                 1.1945,                0.94269,                0.38235,                0.41491,                0.31668,                 1.7047,                 2.3617,                 1.4935,             1.8753e-05,             1.8753e-05,             1.8753e-05
                     49,                0.94057,                 1.2822,                 1.3265,                0.93762,                0.38333,                0.41861,                0.31828,                 1.7086,                 2.3343,                 1.4967,             1.8344e-05,             1.8344e-05,             1.8344e-05
                     50,                0.66682,                0.95957,                 1.1259,                0.93762,                0.38333,                0.41861,                0.31828,                 1.7086,                 2.3343,                 1.4967,             1.7901e-05,             1.7901e-05,             1.7901e-05
                     51,                0.82338,                 1.1384,                 1.2327,                0.93761,                0.38333,                0.41737,                0.30057,                 1.7227,                 2.3382,                 1.5134,             1.7425e-05,             1.7425e-05,             1.7425e-05
                     52,                0.82772,                 1.6441,                 1.2101,                0.93761,                0.38333,                0.41737,                0.30057,                 1.7227,                 2.3382,                 1.5134,             1.6915e-05,             1.6915e-05,             1.6915e-05
                     53,                 0.6596,                 1.1111,                 1.0895,                0.93761,                0.38333,                0.41737,                0.30057,                 1.7227,                 2.3382,                 1.5134,             1.6372e-05,             1.6372e-05,             1.6372e-05
                     54,                0.75887,                 1.0615,                 1.1029,                0.94352,                 0.3869,                0.42296,                0.30341,                 1.7368,                 2.3292,                 1.5059,             1.5795e-05,             1.5795e-05,             1.5795e-05
                     55,                0.81499,                 1.4181,                 1.2426,                0.94352,                 0.3869,                0.42296,                0.30341,                 1.7368,                 2.3292,                 1.5059,             1.5184e-05,             1.5184e-05,             1.5184e-05
                     56,                0.75525,                  1.053,                   1.26,                0.94352,                 0.3869,                0.42296,                0.30341,                 1.7368,                 2.3292,                 1.5059,             1.4539e-05,             1.4539e-05,             1.4539e-05
                     57,                0.65591,                0.79994,                  1.188,                0.94506,                0.38673,                  0.422,                0.30279,                 1.7357,                 2.3458,                 1.5061,             1.3861e-05,             1.3861e-05,             1.3861e-05
                     58,                 1.0771,                 1.2688,                 1.4184,                0.94506,                0.38673,                  0.422,                0.30279,                 1.7357,                 2.3458,                 1.5061,             1.3149e-05,             1.3149e-05,             1.3149e-05
                     59,                0.74364,                0.93962,                 1.2248,                0.94506,                0.38673,                  0.422,                0.30279,                 1.7357,                 2.3458,                 1.5061,             1.2404e-05,             1.2404e-05,             1.2404e-05
                     60,                0.82943,                 1.1169,                  1.342,                0.94237,                0.38657,                0.42228,                0.29542,                 1.7188,                 2.3148,                 1.4906,             1.1625e-05,             1.1625e-05,             1.1625e-05
                     61,                0.63491,                0.72893,                 1.0878,                0.94237,                0.38657,                0.42228,                0.29542,                 1.7188,                 2.3148,                 1.4906,             1.0812e-05,             1.0812e-05,             1.0812e-05
                     62,                0.65991,                0.82607,                 1.1719,                0.94237,                0.38657,                0.42228,                0.29542,                 1.7188,                 2.3148,                 1.4906,             9.9656e-06,             9.9656e-06,             9.9656e-06
                     63,                0.58494,                0.84344,                 1.0353,                0.94403,                0.38651,                0.42357,                0.30399,                 1.7187,                 2.3127,                 1.4953,             9.0855e-06,             9.0855e-06,             9.0855e-06
                     64,                0.70149,                0.74578,                 1.0493,                0.94403,                0.38651,                0.42357,                0.30399,                 1.7187,                 2.3127,                 1.4953,             8.1717e-06,             8.1717e-06,             8.1717e-06
                     65,                0.94467,                 1.4037,                 1.3402,                0.94403,                0.38651,                0.42357,                0.30399,                 1.7187,                 2.3127,                 1.4953,             7.2243e-06,             7.2243e-06,             7.2243e-06
                     66,                 0.6088,                0.72317,                0.99642,                0.94527,                0.38649,                0.42351,                0.30355,                 1.7057,                 2.3514,                 1.4969,             6.2432e-06,             6.2432e-06,             6.2432e-06
                     67,                0.78265,                0.92979,                 1.3466,                0.94527,                0.38649,                0.42351,                0.30355,                 1.7057,                 2.3514,                 1.4969,             5.2285e-06,             5.2285e-06,             5.2285e-06
                     68,                0.59216,                 0.7665,                  1.086,                0.94527,                0.38649,                0.42351,                0.30355,                 1.7057,                 2.3514,                 1.4969,             4.1801e-06,             4.1801e-06,             4.1801e-06
                     69,                0.76096,                 1.0454,                 1.1396,                0.94077,                0.38333,                0.41964,                0.30055,                 1.7107,                 2.4092,                 1.5001,             3.0981e-06,             3.0981e-06,             3.0981e-06
                     70,                0.58077,                0.86081,                 1.0361,                0.94077,                0.38333,                0.41964,                0.30055,                 1.7107,                 2.4092,                 1.5001,             1.9824e-06,             1.9824e-06,             1.9824e-06
