                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.75168,                 3.2767,                0.93406,                0.36241,                0.50808,                0.32983,                   0.28,                0.63208,                 2.6181,                0.86276,             0.00020694,             0.00020694,             0.00020694
                      2,                0.68964,                  2.218,                0.88311,                0.44018,                0.65616,                0.54086,                0.45336,                0.63637,                 2.2188,                0.87205,             0.00037416,             0.00037416,             0.00037416
                      3,                0.67488,                 1.9101,                0.88521,                0.52622,                0.64216,                0.60721,                0.51568,                0.62684,                 1.6671,                 0.8734,             0.00050013,             0.00050013,             0.00050013
