                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.32993,                 1.8584,                 1.0377,                0.44335,                0.69824,                0.59846,                0.48087,                 0.3627,                 1.6106,                0.41964,             0.00041513,             0.00041513,             0.00041513
                      2,                0.24672,                 1.2011,                0.96882,                0.56984,                0.67176,                0.60691,                0.55482,                0.38297,                   1.18,                 0.3698,             0.00081121,             0.00081121,             0.00081121
                      3,                0.22164,                 1.0832,                0.95649,                0.48561,                0.66075,                0.60404,                0.53328,                0.38929,                  1.238,                0.37244,              0.0011867,              0.0011867,              0.0011867
                      4,                0.21779,                 1.0407,                0.95714,                0.46807,                0.56862,                0.55553,                0.50516,                0.33052,                 1.6157,                0.31861,              0.0011572,              0.0011572,              0.0011572
                      5,                 0.2005,                0.98845,                0.94998,                0.56875,                0.77638,                0.73527,                0.65916,                0.39506,                0.90754,                0.36328,              0.0011263,              0.0011263,              0.0011263
                      6,                0.18106,                0.93507,                0.94582,                0.59167,                0.75821,                0.69304,                0.64083,                0.32017,                 1.0056,                0.32834,              0.0010953,              0.0010953,              0.0010953
                      7,                0.17111,                0.89809,                0.94197,                0.69035,                 0.7074,                0.73506,                0.67085,                0.36889,                0.91884,                0.36163,              0.0010644,              0.0010644,              0.0010644
                      8,                0.16558,                0.88623,                0.93629,                0.63116,                0.79984,                0.74766,                0.64148,                0.41525,                0.97483,                0.40342,              0.0010334,              0.0010334,              0.0010334
                      9,                0.16149,                0.86284,                 0.9386,                0.60236,                 0.7743,                0.72216,                0.65563,                0.32296,                 1.0772,                0.33949,              0.0010025,              0.0010025,              0.0010025
                     10,                0.15332,                0.83952,                0.93161,                0.62441,                0.73157,                0.72587,                 0.6294,                0.42059,                0.99119,                0.36596,             0.00097156,             0.00097156,             0.00097156
                     11,                0.14452,                0.81984,                0.93001,                0.64376,                0.71624,                0.77172,                0.72285,                0.30899,                0.90911,                0.27471,             0.00094062,             0.00094062,             0.00094062
